"","value","L1"
"1","szkło ","6f8d36e4-878b-4bf0-bc07-6c47d943119d"
"2","plastik","6f8d36e4-878b-4bf0-bc07-6c47d943119d"
"3","butelki po alkoholu","6f8d36e4-878b-4bf0-bc07-6c47d943119d"
"4","odchody","6f8d36e4-878b-4bf0-bc07-6c47d943119d"
"5","puszki","6f8d36e4-878b-4bf0-bc07-6c47d943119d"
"6","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","6f8d36e4-878b-4bf0-bc07-6c47d943119d"
"7","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","a6d14917-4466-4c20-863b-9cb31c55c429"
"8","złom metalowy","a6d14917-4466-4c20-863b-9cb31c55c429"
"9","meble","a6d14917-4466-4c20-863b-9cb31c55c429"
"10","gruz poremontowy, pobudowlany","06b80bfe-fdd8-4c0e-9c97-8671cc650dcc"
"11","folie","c411d09d-93e7-41cf-aa91-94fe3eb17b72"
"12","plastik","c411d09d-93e7-41cf-aa91-94fe3eb17b72"
"13","butelki po alkoholu","c411d09d-93e7-41cf-aa91-94fe3eb17b72"
"14","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","c411d09d-93e7-41cf-aa91-94fe3eb17b72"
"15","meble","87324c46-997d-4de1-aa31-18e7c290977a"
"16","gruz poremontowy, pobudowlany","ea2dddc5-2acb-438e-b288-0df1558f392f"
"17","folie","ea2dddc5-2acb-438e-b288-0df1558f392f"
"18","inne","ea2dddc5-2acb-438e-b288-0df1558f392f"
"19","armatura łazienkowa (umywalka, sedes, wanna)","ce65ffd6-9841-44e6-a846-ebdd3ed27df5"
"20","meble","ce65ffd6-9841-44e6-a846-ebdd3ed27df5"
"21","gruz poremontowy, pobudowlany","9d8b2fbd-4c62-40af-a350-84b29123862a"
"22","inne","9d8b2fbd-4c62-40af-a350-84b29123862a"
"23","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","9475c62d-53fb-4137-89b4-281cde55ab13"
"24","inne","9475c62d-53fb-4137-89b4-281cde55ab13"
"25","inne","ea83c04d-3207-40e2-91f5-df5445db6d3d"
"26","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","5cb580f3-76fb-4032-ae41-55a13304da02"
"27","gruz poremontowy, pobudowlany","5cb580f3-76fb-4032-ae41-55a13304da02"
"28","gruz poremontowy, pobudowlany","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"29","armatura łazienkowa (umywalka, sedes, wanna)","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"30","meble","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"31","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"32","przeterminowane środki ochrony roślin","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"33","zużyte opony","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"34","części samochodowe","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"35","folie","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"36","plastik","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"37","tekstylia","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"38","szkło ","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"39","złom metalowy","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"40","puszki","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"41","butelki po alkoholu","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"42","inne","2cf29088-4aa6-49d0-b9e3-8836d1aee4f2"
"43","gruz poremontowy, pobudowlany","c3d2bbdb-706b-4b0b-98f4-2c4bf6ffcdce"
"44","plastik","a27f517a-52d9-4181-9cff-8021f435f512"
"45","szkło ","a27f517a-52d9-4181-9cff-8021f435f512"
"46","puszki","a27f517a-52d9-4181-9cff-8021f435f512"
"47","butelki po alkoholu","a27f517a-52d9-4181-9cff-8021f435f512"
"48","inne","a27f517a-52d9-4181-9cff-8021f435f512"
"49","folie","1e640a49-7e2f-4efa-a188-a3e935b01d08"
"50","plastik","1e640a49-7e2f-4efa-a188-a3e935b01d08"
"51","szkło ","1e640a49-7e2f-4efa-a188-a3e935b01d08"
"52","butelki po alkoholu","1e640a49-7e2f-4efa-a188-a3e935b01d08"
"53","inne","23898937-08cd-4e19-9ab6-892b83efff03"
"54","plastik","90bdcd8b-d072-4fc1-b017-ff29cdb5f26c"
"55","przeterminowane środki ochrony roślin","bc7b3d80-e761-11ec-a1e3-d96f95afaa9d"
"56","plastik","bc7b3d80-e761-11ec-a1e3-d96f95afaa9d"
"57","tekstylia","bc7b3d80-e761-11ec-a1e3-d96f95afaa9d"
"58","szkło ","bc7b3d80-e761-11ec-a1e3-d96f95afaa9d"
"59","puszki","bc7b3d80-e761-11ec-a1e3-d96f95afaa9d"
"60","butelki po alkoholu","bc7b3d80-e761-11ec-a1e3-d96f95afaa9d"
"61","plastik","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"62","szkło ","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"63","zużyte opony","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"64","meble","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"65","części samochodowe","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"66","złom metalowy","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"67","butelki po alkoholu","b7ab3419-f2e6-41db-af9f-92a5f10ae99e"
"68","gruz poremontowy, pobudowlany","99eaccf2-1b22-48bf-8097-87e38ffbf927"
"69","zużyte opony","99eaccf2-1b22-48bf-8097-87e38ffbf927"
"70","folie","99eaccf2-1b22-48bf-8097-87e38ffbf927"
"71","szkło ","99eaccf2-1b22-48bf-8097-87e38ffbf927"
"72","butelki po alkoholu","99eaccf2-1b22-48bf-8097-87e38ffbf927"
"73","puszki","99eaccf2-1b22-48bf-8097-87e38ffbf927"
"74","meble","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"75","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"76","plastik","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"77","tekstylia","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"78","szkło ","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"79","złom metalowy","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"80","puszki","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"81","butelki po alkoholu","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"82","śmieci turystyczne (np. po ogniskach lub piknikach)","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"83","odchody","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"84","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"85","inne","3fd3e224-2295-4cd9-b9db-2c533bf28857"
"86","gruz poremontowy, pobudowlany","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"87","meble","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"88","zużyte opony","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"89","folie","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"90","tekstylia","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"91","szkło ","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"92","butelki po alkoholu","4302357d-bd62-461b-92cc-a9a65b9e7e92"
"93","części samochodowe","06761aee-1000-404e-a19f-d88598c09aeb"
"94","gruz poremontowy, pobudowlany","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"95","plastik","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"96","szkło ","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"97","złom metalowy","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"98","butelki po alkoholu","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"99","puszki","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"100","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","102d49ad-4c45-4a18-a80b-bb7071cb34dd"
"101","gruz poremontowy, pobudowlany","06e73640-c6e1-11ec-af5a-7bdee8ddd1a6"
"102","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","06e73640-c6e1-11ec-af5a-7bdee8ddd1a6"
"103","folie","06e73640-c6e1-11ec-af5a-7bdee8ddd1a6"
"104","butelki po alkoholu","06e73640-c6e1-11ec-af5a-7bdee8ddd1a6"
"105","inne","06e73640-c6e1-11ec-af5a-7bdee8ddd1a6"
"106","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","a43aa75d-5ba1-4f6b-98d0-50850d789732"
"107","inne","a43aa75d-5ba1-4f6b-98d0-50850d789732"
"108","meble","97ec6927-0789-4c6b-bb93-62cc7742d262"
"109","tekstylia","97ec6927-0789-4c6b-bb93-62cc7742d262"
"110","butelki po alkoholu","97ec6927-0789-4c6b-bb93-62cc7742d262"
"111","inne","97ec6927-0789-4c6b-bb93-62cc7742d262"
"112","zużyte opony","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"113","tekstylia","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"114","części samochodowe","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"115","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"116","plastik","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"117","folie","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"118","butelki po alkoholu","f10f1fb0-c346-11ec-ab8a-6569fdf2ef4c"
"119","plastik","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"120","tekstylia","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"121","folie","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"122","szkło ","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"123","złom metalowy","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"124","puszki","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"125","butelki po alkoholu","c5c2bf70-7629-4404-bc46-0b1b31be04c7"
"126","zużyte opony","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"127","części samochodowe","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"128","folie","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"129","plastik","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"130","tekstylia","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"131","złom metalowy","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"132","puszki","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"133","butelki po alkoholu","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"134","śmieci turystyczne (np. po ogniskach lub piknikach)","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"135","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","30daf0bf-bed6-4088-bb36-974b507e4d4a"
"136","gruz poremontowy, pobudowlany","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"137","meble","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"138","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"139","zużyte opony","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"140","części samochodowe","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"141","folie","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"142","plastik","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"143","szkło ","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"144","złom metalowy","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"145","puszki","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"146","butelki po alkoholu","e2d787e0-c254-11ec-8eb9-0110ed6caa39"
"147","gruz poremontowy, pobudowlany","634f32ce-f43b-4409-b81c-5262750e0f44"
"148","zużyte opony","634f32ce-f43b-4409-b81c-5262750e0f44"
"149","części samochodowe","634f32ce-f43b-4409-b81c-5262750e0f44"
"150","folie","634f32ce-f43b-4409-b81c-5262750e0f44"
"151","plastik","634f32ce-f43b-4409-b81c-5262750e0f44"
"152","puszki","634f32ce-f43b-4409-b81c-5262750e0f44"
"153","butelki po alkoholu","634f32ce-f43b-4409-b81c-5262750e0f44"
"154","śmieci turystyczne (np. po ogniskach lub piknikach)","634f32ce-f43b-4409-b81c-5262750e0f44"
"155","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","634f32ce-f43b-4409-b81c-5262750e0f44"
"156","plastik","5a67bf01-143c-47ca-8715-cc5621520cb2"
"157","puszki","5a67bf01-143c-47ca-8715-cc5621520cb2"
"158","butelki po alkoholu","5a67bf01-143c-47ca-8715-cc5621520cb2"
"159","folie","5a67bf01-143c-47ca-8715-cc5621520cb2"
"160","armatura łazienkowa (umywalka, sedes, wanna)","dca17450-b645-11ec-86d4-df47779f61de"
"161","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","dca17450-b645-11ec-86d4-df47779f61de"
"162","plastik","dca17450-b645-11ec-86d4-df47779f61de"
"163","folie","dca17450-b645-11ec-86d4-df47779f61de"
"164","szkło ","dca17450-b645-11ec-86d4-df47779f61de"
"165","butelki po alkoholu","dca17450-b645-11ec-86d4-df47779f61de"
"166","gruz poremontowy, pobudowlany","40567cca-bb92-4413-aad2-07bdc9161784"
"167","armatura łazienkowa (umywalka, sedes, wanna)","40567cca-bb92-4413-aad2-07bdc9161784"
"168","folie","40567cca-bb92-4413-aad2-07bdc9161784"
"169","plastik","40567cca-bb92-4413-aad2-07bdc9161784"
"170","szkło ","40567cca-bb92-4413-aad2-07bdc9161784"
"171","plastik","cf275ac7-4c48-43e4-9c9d-e5c08cb408c2"
"172","folie","cf275ac7-4c48-43e4-9c9d-e5c08cb408c2"
"173","inne","cf275ac7-4c48-43e4-9c9d-e5c08cb408c2"
"174","szkło ","a7ced364-1b5b-4407-b3ff-1489c11b2045"
"175","inne","a7ced364-1b5b-4407-b3ff-1489c11b2045"
"176","gruz poremontowy, pobudowlany","7931f210-adf2-11ec-899c-29c766ce896f"
"177","meble","7931f210-adf2-11ec-899c-29c766ce896f"
"178","butelki po alkoholu","7931f210-adf2-11ec-899c-29c766ce896f"
"179","puszki","7931f210-adf2-11ec-899c-29c766ce896f"
"180","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","7931f210-adf2-11ec-899c-29c766ce896f"
"181","inne","7931f210-adf2-11ec-899c-29c766ce896f"
"182","gruz poremontowy, pobudowlany","f2d14500-adf0-11ec-899c-29c766ce896f"
"183","armatura łazienkowa (umywalka, sedes, wanna)","f2d14500-adf0-11ec-899c-29c766ce896f"
"184","meble","f2d14500-adf0-11ec-899c-29c766ce896f"
"185","folie","f2d14500-adf0-11ec-899c-29c766ce896f"
"186","plastik","f2d14500-adf0-11ec-899c-29c766ce896f"
"187","szkło ","f2d14500-adf0-11ec-899c-29c766ce896f"
"188","butelki po alkoholu","f2d14500-adf0-11ec-899c-29c766ce896f"
"189","zużyte opony","826ad2c6-f39c-4763-854d-aebfaa9576f6"
"190","plastik","826ad2c6-f39c-4763-854d-aebfaa9576f6"
"191","szkło ","826ad2c6-f39c-4763-854d-aebfaa9576f6"
"192","puszki","826ad2c6-f39c-4763-854d-aebfaa9576f6"
"193","butelki po alkoholu","826ad2c6-f39c-4763-854d-aebfaa9576f6"
"194","tekstylia","826ad2c6-f39c-4763-854d-aebfaa9576f6"
"195","zużyte opony","3543b846-976c-4f8b-9580-80ed0942b871"
"196","plastik","3543b846-976c-4f8b-9580-80ed0942b871"
"197","folie","3543b846-976c-4f8b-9580-80ed0942b871"
"198","tekstylia","3543b846-976c-4f8b-9580-80ed0942b871"
"199","butelki po alkoholu","3543b846-976c-4f8b-9580-80ed0942b871"
"200","armatura łazienkowa (umywalka, sedes, wanna)","3543b846-976c-4f8b-9580-80ed0942b871"
"201","meble","3543b846-976c-4f8b-9580-80ed0942b871"
"202","zużyte opony","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"203","plastik","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"204","tekstylia","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"205","szkło ","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"206","butelki po alkoholu","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"207","odchody","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"208","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","c4108f60-ac55-11ec-b78f-9f78d7afe582"
"209","zużyte opony","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"210","folie","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"211","plastik","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"212","szkło ","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"213","butelki po alkoholu","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"214","puszki","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"215","inne","79c11420-aafc-11ec-ad03-cd8cdd6e83f9"
"216","szkło ","28481037-5593-4aa1-9f0a-80c32c10d9d8"
"217","meble","24788a1a-cd1c-43cf-9023-15b67917c823"
"218","butelki po alkoholu","6775a0c0-aa15-11ec-b710-43b553710cc1"
"219","puszki","6775a0c0-aa15-11ec-b710-43b553710cc1"
"220","inne","6775a0c0-aa15-11ec-b710-43b553710cc1"
"221","armatura łazienkowa (umywalka, sedes, wanna)","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"222","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"223","folie","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"224","plastik","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"225","szkło ","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"226","butelki po alkoholu","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"227","inne","81229fc0-a95f-11ec-8b6c-857d0f1bfcdb"
"228","meble","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"229","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"230","plastik","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"231","szkło ","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"232","złom metalowy","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"233","puszki","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"234","butelki po alkoholu","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"235","części samochodowe","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"236","zużyte opony","a0c464a1-320a-4266-9ce7-b9ad5ebf1f3f"
"237","butelki po alkoholu","d7368f9e-6778-4d47-bdae-05b54bd93768"
"238","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","1b588313-980f-48a9-abda-846a5df9a3ce"
"239","zużyte opony","214b73fc-99cf-48a5-a64b-f56b9a240557"
"240","części samochodowe","214b73fc-99cf-48a5-a64b-f56b9a240557"
"241","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","214b73fc-99cf-48a5-a64b-f56b9a240557"
"242","gruz poremontowy, pobudowlany","14a666a7-9c5b-4d5e-83a6-3621d7c199c7"
"243","gruz poremontowy, pobudowlany","eb4c2d60-a14b-11ec-803e-bbc34bc1314e"
"244","plastik","eb4c2d60-a14b-11ec-803e-bbc34bc1314e"
"245","folie","eb4c2d60-a14b-11ec-803e-bbc34bc1314e"
"246","szkło ","eb4c2d60-a14b-11ec-803e-bbc34bc1314e"
"247","butelki po alkoholu","eb4c2d60-a14b-11ec-803e-bbc34bc1314e"
"248","odchody","eb4c2d60-a14b-11ec-803e-bbc34bc1314e"
"249","gruz poremontowy, pobudowlany","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"250","meble","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"251","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"252","zużyte opony","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"253","folie","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"254","plastik","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"255","tekstylia","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"256","złom metalowy","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"257","puszki","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"258","butelki po alkoholu","450c35d0-a14b-11ec-803e-bbc34bc1314e"
"259","zużyte opony","c84c8130-a069-11ec-be44-b10984a8bbc9"
"260","plastik","c84c8130-a069-11ec-be44-b10984a8bbc9"
"261","szkło ","c84c8130-a069-11ec-be44-b10984a8bbc9"
"262","butelki po alkoholu","c84c8130-a069-11ec-be44-b10984a8bbc9"
"263","puszki","c84c8130-a069-11ec-be44-b10984a8bbc9"
"264","plastik","2d9906cf-955e-4181-9e02-b2f0f16afe4b"
"265","zużyte opony","43605bd7-66c6-481c-9f4f-9b2c71238031"
"266","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","43605bd7-66c6-481c-9f4f-9b2c71238031"
"267","armatura łazienkowa (umywalka, sedes, wanna)","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"268","tekstylia","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"269","plastik","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"270","folie","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"271","szkło ","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"272","złom metalowy","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"273","puszki","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"274","butelki po alkoholu","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"275","odchody","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"276","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"277","meble","a4478780-9f1a-11ec-9d64-c3684f9d913a"
"278","szkło ","0c81e16b-cda8-4ccd-a62f-9c76c1fb01ca"
"279","butelki po alkoholu","0c81e16b-cda8-4ccd-a62f-9c76c1fb01ca"
"280","puszki","0c81e16b-cda8-4ccd-a62f-9c76c1fb01ca"
"281","szkło ","6e1d0a1a-56b4-491c-a291-0d52a1b9e553"
"282","gruz poremontowy, pobudowlany","6e1d0a1a-56b4-491c-a291-0d52a1b9e553"
"283","szkło ","0fb5be2d-3407-458d-b2d8-a6425af21db9"
"284","armatura łazienkowa (umywalka, sedes, wanna)","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"285","meble","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"286","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"287","zużyte opony","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"288","części samochodowe","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"289","farby, tusze, lakiery","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"290","folie","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"291","plastik","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"292","tekstylia","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"293","szkło ","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"294","złom metalowy","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"295","puszki","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"296","butelki po alkoholu","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"297","śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"298","inne","edb37be0-9a65-11ec-a540-4dc26cd63cb8"
"299","folie","e63c828d-0054-419b-a30c-d827c50778e0"
"300","plastik","e63c828d-0054-419b-a30c-d827c50778e0"
"301","szkło ","e63c828d-0054-419b-a30c-d827c50778e0"
"302","butelki po alkoholu","e63c828d-0054-419b-a30c-d827c50778e0"
"303","puszki","e63c828d-0054-419b-a30c-d827c50778e0"
"304","armatura łazienkowa (umywalka, sedes, wanna)","222c94af-0de6-4798-bb29-25098163173f"
"305","meble","222c94af-0de6-4798-bb29-25098163173f"
"306","elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ","222c94af-0de6-4798-bb29-25098163173f"
"307","folie","222c94af-0de6-4798-bb29-25098163173f"
"308","plastik","222c94af-0de6-4798-bb29-25098163173f"
"309","złom metalowy","222c94af-0de6-4798-bb29-25098163173f"
